Year,LocationName,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,CountyFIPS
2022,17031681300,Disability,Mobility disability among adults,%,Crude prevalence,30.4,,,28.0,32.8,2182,1592,POINT (-87.6398423 41.7611807),17031681300,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
2022,17031630300,Disability,Mobility disability among adults,%,Crude prevalence,13.1,,,11.8,14.6,5385,3852,POINT (-87.7086378 41.798862),17031630300,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
2022,17031640100,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,5.4,,,4.8,6.0,1312,1006,POINT (-87.7398608 41.7819196),17031640100,HLTHOUT,COPD,CrdPrv,COPD,17031
2022,17031821001,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,55.5,,,52.2,58.8,5205,3965,POINT (-87.7913613 41.742172),17031821001,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2021,17031820800,Health Outcomes,High blood pressure among adults,%,Crude prevalence,29.1,,,26.1,31.7,3695,2808,POINT (-87.7735919 41.8072538),17031820800,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
2022,17031770400,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.3,,,11.8,14.9,4375,3591,POINT (-87.9740263 42.0246767),17031770400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2021,17031800800,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,36.3,,,32.8,39.9,2426,1935,POINT (-87.7586298 42.09722),17031800800,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,17031
2022,17031802004,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.6,,,5.9,7.2,5871,4575,POINT (-87.8537258 42.0693032),17031802004,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031710200,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,8.5,,,7.6,9.3,4635,3442,POINT (-87.6514252 41.7551131),17031710200,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031710500,Disability,Mobility disability among adults,%,Crude prevalence,22.0,,,20.0,24.1,4036,3248,POINT (-87.6707874 41.7475316),17031710500,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
2022,17031811200,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,60.6,,,57.4,63.7,5401,4239,POINT (-87.8453739 41.9222261),17031811200,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031803007,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,69.0,,,66.1,71.8,5153,4290,POINT (-87.9706739 42.1317433),17031803007,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031822602,Health Outcomes,Obesity among adults,%,Crude prevalence,34.8,,,31.1,38.7,7296,5708,POINT (-87.7532159 41.6991418),17031822602,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031710300,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,7.6,,,6.8,8.4,1424,1099,POINT (-87.6611057 41.7540485),17031710300,HLTHOUT,COPD,CrdPrv,COPD,17031
2021,17031813702,Health Outcomes,High blood pressure among adults,%,Crude prevalence,25.2,,,22.5,27.7,4199,3044,POINT (-87.7465073 41.8551811),17031813702,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
